icd9_code,icd10_code,approximate,no_map,combination,scenario,choice_list
0010,A000,0,0,0,0,0
0011,A001,0,0,0,0,0
0019,A009,0,0,0,0,0
0020,A0100,1,0,0,0,0
0021,A011,0,0,0,0,0
0022,A012,0,0,0,0,0
0023,A013,0,0,0,0,0
0029,A014,0,0,0,0,0
0030,A020,0,0,0,0,0
0031,A021,1,0,0,0,0
00320,A0220,0,0,0,0,0
00321,A0221,0,0,0,0,0
00322,A0222,0,0,0,0,0
00323,A0223,0,0,0,0,0
00324,A0224,0,0,0,0,0
00329,A0229,1,0,0,0,0
0038,A028,0,0,0,0,0
0039,A029,0,0,0,0,0
0040,A030,0,0,0,0,0
0041,A031,0,0,0,0,0
0042,A032,0,0,0,0,0
0043,A033,0,0,0,0,0
0048,A038,0,0,0,0,0
0049,A039,0,0,0,0,0
0050,A050,0,0,0,0,0
0051,A051,0,0,0,0,0
0052,A052,0,0,0,0,0
0053,A058,1,0,0,0,0
0054,A053,0,0,0,0,0
00581,A055,0,0,0,0,0
00589,A054,1,0,0,0,0
00589,A058,1,0,0,0,0
0059,A059,0,0,0,0,0
0060,A060,0,0,0,0,0
0061,A061,0,0,0,0,0
0062,A062,0,0,0,0,0
0063,A064,0,0,0,0,0
0064,A065,0,0,0,0,0
0065,A066,0,0,0,0,0
0066,A067,0,0,0,0,0
0068,A0689,1,0,0,0,0
0069,A069,0,0,0,0,0
0070,A070,0,0,0,0,0
0071,A071,0,0,0,0,0
0072,A073,0,0,0,0,0
0073,A078,1,0,0,0,0
0074,A072,0,0,0,0,0
0075,A074,0,0,0,0,0
0078,A078,1,0,0,0,0
0079,A079,0,0,0,0,0
00800,A044,1,0,0,0,0
00801,A040,0,0,0,0,0
00802,A041,0,0,0,0,0
00803,A042,0,0,0,0,0
00804,A043,0,0,0,0,0
00809,A044,1,0,0,0,0
0081,A048,1,0,0,0,0
0082,A048,1,0,0,0,0
0083,A048,1,0,0,0,0
00841,A048,1,0,0,0,0
00842,A048,1,0,0,0,0
00843,A045,0,0,0,0,0
00844,A046,0,0,0,0,0
